repo_name,owner,repo_url,description,language,topics,stars,updated_at,input_url,input_search_query,input_max_pages,warning,warning_code,error,error_code,snapshot_id,snapshot_date,categories,primary_category
taoshidev/vanta-network,taoshidev,https://github.com/taoshidev/vanta-network,,Python,"[""machine-learning"",""ai"",""deep-learning"",""blockchain"",""cryptocurrency""]",75,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning
apache/airflow,apache,https://github.com/apache/airflow,,Python,"[""python"",""workflow"",""data-science"",""machine-learning"",""airflow""]",46536,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,MLOps & Orchestration|Core ML & Deep Learning,MLOps & Orchestration
bhklab/med-imagetools,bhklab,https://github.com/bhklab/med-imagetools,,Python,"[""python"",""machine-learning"",""deep-learning"",""dicom"",""torch""]",60,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Computer Vision|Core ML & Deep Learning,Computer Vision
elyra-ai/elyra,elyra-ai,https://github.com/elyra-ai/elyra,,Python,"[""python"",""docker"",""machine-learning"",""airflow"",""binder""]",1996,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,MLOps & Orchestration|Core ML & Deep Learning,MLOps & Orchestration
ENSTA-U2IS-AI/awesome-uncertainty-deeplearning,ENSTA-U2IS-AI,https://github.com/ENSTA-U2IS-AI/awesome-uncertainty-deeplearning,,Unknown,"[""machine-learning"",""awesome"",""deep-neural-networks"",""deep-learning"",""uncertainty-neural-networks""]",824,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning
flyteorg/flyte,flyteorg,https://github.com/flyteorg/flyte,,Go,"[""python"",""kubernetes"",""golang"",""workflow"",""data-science""]",7212,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,MLOps & Orchestration,MLOps & Orchestration
keras-team/keras,keras-team,https://github.com/keras-team/keras,,Python,"[""python"",""data-science"",""machine-learning"",""deep-learning"",""tensorflow""]",64242,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning
vespa-engine/vespa,vespa-engine,https://github.com/vespa-engine/vespa,,Java,"[""search"",""java"",""search-engine"",""machine-learning"",""big-data""]",7056,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,RAG & Retrieval|Core ML & Deep Learning,RAG & Retrieval
NeuroTechX/moabb,NeuroTechX,https://github.com/NeuroTechX/moabb,,Python,"[""machine-learning"",""neuroscience"",""eeg"",""bci"",""brain-computer-interface""]",1036,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning
roboflow/rf-detr,roboflow,https://github.com/roboflow/rf-detr,,Python,"[""machine-learning"",""computer-vision"",""object-detection"",""sota"",""instance-segmentation""]",9005,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Computer Vision|Core ML & Deep Learning,Computer Vision
