repo_name,owner,repo_url,description,language,topics,stars,updated_at,input,snapshot_id,snapshot_date,categories,primary_category
NVIDIA/physicsnemo,NVIDIA,https://github.com/NVIDIA/physicsnemo,,Python,"['machine-learning', 'deep-learning', 'physics', 'pytorch', 'nvidia-gpu']",3182,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
kubeflow/pipelines,kubeflow,https://github.com/kubeflow/pipelines,,Python,"['kubernetes', 'data-science', 'machine-learning', 'pipeline', 'kubeflow']",4191,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,MLOps & Orchestration|Core ML & Deep Learning,MLOps & Orchestration
orcasound/orcahello,orcasound,https://github.com/orcasound/orcahello,,C#,"['machine-learning', 'real-time', 'deep-learning', 'neural-network', 'realtime']",58,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
mlr-org/mlr3,mlr-org,https://github.com/mlr-org/mlr3,,R,"['data-science', 'machine-learning', 'r', 'regression', 'classification']",1080,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
smartcorelib/smartcore,smartcorelib,https://github.com/smartcorelib/smartcore,,Rust,"['rust', 'machine-learning', 'clustering', 'machine-learning-algorithms', 'statistical-learning']",949,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
CliMA/ClimaAtmos.jl,CliMA,https://github.com/CliMA/ClimaAtmos.jl,,Julia,"['machine-learning', 'gpu', 'optimization', 'climate', 'julia']",125,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
qdrant/qdrant,qdrant,https://github.com/qdrant/qdrant,,Rust,"['search', 'search-engine', 'machine-learning', 'neural-network', 'nearest-neighbor-search']",34115,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,RAG & Retrieval|Core ML & Deep Learning,RAG & Retrieval
feast-dev/feast,feast-dev,https://github.com/feast-dev/feast,,Python,"['python', 'data-science', 'machine-learning', 'big-data', 'ml']",7224,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
pytorch/executorch,pytorch,https://github.com/pytorch/executorch,,Python,"['machine-learning', 'mobile', 'embedded', 'deep-learning', 'neural-network']",4941,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
microsoft/onnxruntime,microsoft,https://github.com/microsoft/onnxruntime,,C++,"['machine-learning', 'deep-learning', 'tensorflow', 'scikit-learn', 'pytorch']",21414,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
