repo_name,owner,repo_url,description,language,topics,stars,updated_at,input_url,input_search_query,input_max_pages,warning,warning_code,error,error_code,snapshot_id,snapshot_date,categories,primary_category,input,stars_prev,star_growth,star_growth_rate,momentum_score,signal
voxel51/fiftyone,voxel51,https://github.com/voxel51/fiftyone,,TypeScript,"[""visualization"",""python"",""data-science"",""machine-learning"",""computer-vision""]",11018,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_19,2026-08-19,Computer Vision|Core ML & Deep Learning,Computer Vision,,,0,0.0,0.0,💤 LOW VELOCITY
voxel51/fiftyone,voxel51,https://github.com/voxel51/fiftyone,,TypeScript,"[""visualization"",""python"",""data-science"",""machine-learning"",""computer-vision""]",11017,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_20,2026-08-20,Computer Vision|Core ML & Deep Learning,Computer Vision,,11018.0,-1,-0.01,0.0,💤 LOW VELOCITY
voxel51/fiftyone,voxel51,https://github.com/voxel51/fiftyone,,TypeScript,"['visualization', 'python', 'data-science', 'machine-learning', 'computer-vision']",11027,,,,,,,,,raw_2026_08_21,2026-08-21,Computer Vision|Core ML & Deep Learning,Computer Vision,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",11017.0,10,0.09,24.8,🌱 STEADY
voxel51/fiftyone,voxel51,https://github.com/voxel51/fiftyone,,TypeScript,"['visualization', 'python', 'data-science', 'machine-learning', 'computer-vision']",11028,,,,,,,,,raw_2026_08_22,2026-08-22,Computer Vision|Core ML & Deep Learning,Computer Vision,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",11027.0,1,0.01,7.0,💤 LOW VELOCITY
wandb/wandb,wandb,https://github.com/wandb/wandb,,Python,"['data-science', 'machine-learning', 'reinforcement-learning', 'ai', 'deep-learning']",11235,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
wanshuiyin/ARIS-in-AI-Offer,wanshuiyin,https://github.com/wanshuiyin/ARIS-in-AI-Offer,,Python,"['machine-learning', 'deep-learning', 'pytorch', 'transformer', 'cheatsheet']",394,,,,,,,,,raw_2026_08_22,2026-08-22,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
warpfront/hipfire,warpfront,https://github.com/warpfront/hipfire,,Rust,"[""rust"",""machine-learning"",""hip"",""gpu-computing"",""rdna""]",524,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_19,2026-08-19,Core ML & Deep Learning,Core ML & Deep Learning,,,0,0.0,0.0,💤 LOW VELOCITY
warpfront/hipfire,warpfront,https://github.com/warpfront/hipfire,,Rust,"['rust', 'machine-learning', 'hip', 'gpu-computing', 'rdna']",535,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",524.0,11,2.1,36.2,🌱 STEADY
waybarrios/opencode-power-pack,waybarrios,https://github.com/waybarrios/opencode-power-pack,,Python,"['plugin', 'machine-learning', 'security-audit', 'skills', 'opencode']",476,,,,,,,,,raw_2026_08_22,2026-08-22,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
wonglaitung/fortune,wonglaitung,https://github.com/wonglaitung/fortune,,Python,"[""machine-learning"",""ai"",""bitcoin"",""ethereum"",""stock""]",74,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_19,2026-08-19,Core ML & Deep Learning,Core ML & Deep Learning,,,0,0.0,0.0,💤 LOW VELOCITY
wonglaitung/fortune,wonglaitung,https://github.com/wonglaitung/fortune,,Python,"[""machine-learning"",""ai"",""bitcoin"",""ethereum"",""stock""]",74,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning,,74.0,0,0.0,0.0,💤 LOW VELOCITY
wonglaitung/fortune,wonglaitung,https://github.com/wonglaitung/fortune,,Python,"['machine-learning', 'ai', 'bitcoin', 'ethereum', 'stock']",74,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",74.0,0,0.0,0.0,💤 LOW VELOCITY
wwhenxuan/PySDKit,wwhenxuan,https://github.com/wwhenxuan/PySDKit,,Python,"[""machine-learning"",""time-series"",""signal-processing"",""image-processing"",""vmd""]",216,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_19,2026-08-19,Computer Vision|Core ML & Deep Learning,Computer Vision,,,0,0.0,0.0,💤 LOW VELOCITY
wwhenxuan/PySDKit,wwhenxuan,https://github.com/wwhenxuan/PySDKit,,Python,"['machine-learning', 'time-series', 'signal-processing', 'image-processing', 'vmd']",216,,,,,,,,,raw_2026_08_22,2026-08-22,Computer Vision|Core ML & Deep Learning,Computer Vision,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",216.0,0,0.0,0.0,💤 LOW VELOCITY
xberg-io/liter-llm,xberg-io,https://github.com/xberg-io/liter-llm,,Rust,"[""python"",""rust"",""machine-learning"",""streaming"",""typescript""]",249,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_19,2026-08-19,Core ML & Deep Learning,Core ML & Deep Learning,,,0,0.0,0.0,💤 LOW VELOCITY
xberg-io/liter-llm,xberg-io,https://github.com/xberg-io/liter-llm,,Rust,"['python', 'rust', 'machine-learning', 'streaming', 'typescript']",249,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",249.0,0,0.0,0.0,💤 LOW VELOCITY
xberg-io/liter-llm,xberg-io,https://github.com/xberg-io/liter-llm,,Rust,"['python', 'rust', 'machine-learning', 'streaming', 'typescript']",249,,,,,,,,,raw_2026_08_22,2026-08-22,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",249.0,0,0.0,0.0,💤 LOW VELOCITY
xieguigang/sciBASIC,xieguigang,https://github.com/xieguigang/sciBASIC,,Visual Basic .NET,"[""data-science"",""machine-learning"",""data-mining"",""cnn"",""netcdf""]",76,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning,,,0,0.0,0.0,💤 LOW VELOCITY
xorbitsai/inference,xorbitsai,https://github.com/xorbitsai/inference,,Python,"[""machine-learning"",""deployment"",""inference"",""pytorch"",""artificial-intelligence""]",9502,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15.0,,,,,raw_2026_08_19,2026-08-19,Core ML & Deep Learning,Core ML & Deep Learning,,,0,0.0,0.0,💤 LOW VELOCITY
xorbitsai/inference,xorbitsai,https://github.com/xorbitsai/inference,,Python,"['machine-learning', 'deployment', 'transformers', 'inference', 'pytorch']",9504,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",9502.0,2,0.02,11.2,💤 LOW VELOCITY
xorbitsai/inference,xorbitsai,https://github.com/xorbitsai/inference,,Python,"['machine-learning', 'deployment', 'transformers', 'inference', 'pytorch']",9506,,,,,,,,,raw_2026_08_22,2026-08-22,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",9504.0,2,0.02,11.2,💤 LOW VELOCITY
