repo_name,owner,repo_url,description,language,topics,stars,updated_at,input,snapshot_id,snapshot_date
sheaf-lang/sheaf,sheaf-lang,https://github.com/sheaf-lang/sheaf,,Rust,"['rust', 'machine-learning', 'lisp', 'compiler', 'functional-programming']",54,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
marcelwa/aigverse,marcelwa,https://github.com/marcelwa/aigverse,,Python,"['python', 'machine-learning', 'verilog', 'logic-synthesis', 'aiger']",88,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
lstein/PhotoMapAI,lstein,https://github.com/lstein/PhotoMapAI,,Python,"['visualization', 'python', 'open-source', 'machine-learning', 'slideshow']",84,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
openvinotoolkit/model_server,openvinotoolkit,https://github.com/openvinotoolkit/model_server,,C++,"['kubernetes', 'machine-learning', 'cloud', 'ai', 'deep-learning']",916,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
sstklen/trump-code,sstklen,https://github.com/sstklen/trump-code,,Python,"['machine-learning', 'trump', 'ai', 'prediction', 'open-data']",796,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
argoproj/argo-workflows,argoproj,https://github.com/argoproj/argo-workflows,,Go,"['kubernetes', 'workflow', 'machine-learning', 'airflow', 'workflow-engine']",16924,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
strands-agents/evals,strands-agents,https://github.com/strands-agents/evals,,Python,"['python', 'machine-learning', 'ai', 'evaluation', 'agentic']",182,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
netdata/netdata,netdata,https://github.com/netdata/netdata,,Go,"['mysql', 'linux', 'docker', 'kubernetes', 'devops']",80254,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
sktime/sktime,sktime,https://github.com/sktime/sktime,,Python,"['data-science', 'machine-learning', 'data-mining', 'ai', 'time-series']",9956,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
grandgaming9321-prog/reality-engine,grandgaming9321-prog,https://github.com/grandgaming9321-prog/reality-engine,,HTML,"['python', 'open-source', 'machine-learning', 'reinforcement-learning', 'ai']",123,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
Leeroo-AI/kapso,Leeroo-AI,https://github.com/Leeroo-AI/kapso,,Python,"['machine-learning', 'program-synthesis', 'knowledge-graph', 'code-optimization', 'autonomous-agents']",96,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
modal-labs/modal-client,modal-labs,https://github.com/modal-labs/modal-client,,Python,"['python', 'data-science', 'machine-learning', 'cloud', 'ai']",506,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
Jordan-Pierce/CoralNet-Toolbox,Jordan-Pierce,https://github.com/Jordan-Pierce/CoralNet-Toolbox,,Python,"['machine-learning', 'image-annotation', 'image-classification', 'object-detection', 'cpc']",51,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
huggingface/hub-docs,huggingface,https://github.com/huggingface/hub-docs,,Handlebars,"['machine-learning', 'hacktoberfest']",588,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
techascent/tech.ml.dataset,techascent,https://github.com/techascent/tech.ml.dataset,,Clojure,"['java', 'machine-learning', 'clojure', 'csv', 'xlsx']",757,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
wonglaitung/fortune,wonglaitung,https://github.com/wonglaitung/fortune,,Python,"['machine-learning', 'ai', 'bitcoin', 'ethereum', 'stock']",74,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
ray-project/ray,ray-project,https://github.com/ray-project/ray,,Python,"['python', 'data-science', 'machine-learning', 'reinforcement-learning', 'deep-learning']",43577,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
zapplyjobs/New-Grad-Data-Science-Jobs-2027,zapplyjobs,https://github.com/zapplyjobs/New-Grad-Data-Science-Jobs-2027,,HTML,"['data-science', 'data', 'machine-learning', 'ai', 'jobs']",69,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
zapplyjobs/awesome-ml-internships,zapplyjobs,https://github.com/zapplyjobs/awesome-ml-internships,,Unknown,"['data-science', 'machine-learning', 'awesome-list', 'internships', 'awesome-resources']",452,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
pytorch/TensorRT,pytorch,https://github.com/pytorch/TensorRT,,Python,"['machine-learning', 'deep-learning', 'cuda', 'pytorch', 'nvidia']",2984,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
google-ai-edge/mediapipe,google-ai-edge,https://github.com/google-ai-edge/mediapipe,,C++,"['android', 'c-plus-plus', 'calculator', 'machine-learning', 'framework']",36684,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
