repo_name,owner,repo_url,description,language,topics,stars,updated_at,input_url,input_search_query,input_max_pages,warning,warning_code,error,error_code,snapshot_id,snapshot_date
openvinotoolkit/model_server,openvinotoolkit,https://github.com/openvinotoolkit/model_server,,C++,"[""kubernetes"",""machine-learning"",""cloud"",""ai"",""deep-learning""]",914,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
bodo-ai/Bodo,bodo-ai,https://github.com/bodo-ai/Bodo,,Python,"[""python"",""data-science"",""machine-learning"",""sql"",""big-data""]",374,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
desy-ml/cheetah,desy-ml,https://github.com/desy-ml/cheetah,,Python,"[""python"",""machine-learning"",""reinforcement-learning"",""simulation"",""data-collection""]",69,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
lubludrova/rl-handbook,lubludrova,https://github.com/lubludrova/rl-handbook,,MDX,"[""machine-learning"",""tutorial"",""course"",""reinforcement-learning"",""book""]",126,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
vespa-engine/vespa,vespa-engine,https://github.com/vespa-engine/vespa,,Java,"[""search"",""java"",""search-engine"",""machine-learning"",""big-data""]",7054,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
ray-project/ray,ray-project,https://github.com/ray-project/ray,,Python,"[""python"",""data-science"",""machine-learning"",""reinforcement-learning"",""deep-learning""]",43545,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
data-privacy-stack/presidio-research,data-privacy-stack,https://github.com/data-privacy-stack/presidio-research,,Jupyter Notebook,"[""nlp"",""machine-learning"",""natural-language-processing"",""privacy"",""deep-learning""]",303,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
speedyapply/2027-AI-College-Jobs,speedyapply,https://github.com/speedyapply/2027-AI-College-Jobs,,Unknown,"[""data-science"",""data"",""machine-learning"",""internship"",""ai""]",6148,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
leoncuhk/awesome-quant-ai,leoncuhk,https://github.com/leoncuhk/awesome-quant-ai,,Jupyter Notebook,"[""machine-learning"",""awesome"",""ai"",""quant"",""awesome-list""]",563,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
e-candeloro/Driver-State-Detection,e-candeloro,https://github.com/e-candeloro/Driver-State-Detection,,Python,"[""machine-learning"",""real-time"",""computer-vision"",""python3"",""dlib""]",152,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
