repo_name,owner,repo_url,description,language,topics,stars,updated_at,input_url,input_search_query,input_max_pages,warning,warning_code,error,error_code
Oxen-AI/Oxen,Oxen-AI,https://github.com/Oxen-AI/Oxen,,Rust,"[""python"",""rust"",""machine-learning"",""version-control"",""vcs""]",1179,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
very-good-science/data-ethics-club,very-good-science,https://github.com/very-good-science/data-ethics-club,,Python,"[""data-science"",""data"",""machine-learning"",""algorithms"",""bias""]",88,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
catboost/catboost,catboost,https://github.com/catboost/catboost,,C++,"[""python"",""data-science"",""machine-learning"",""data-mining"",""tutorial""]",9069,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
azukds/tubular,azukds,https://github.com/azukds/tubular,,Python,"[""python"",""data-science"",""machine-learning"",""scikit-learn"",""data-transformation""]",108,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
h2oai/h2o-3,h2oai,https://github.com/h2oai/h2o-3,,Jupyter Notebook,"[""python"",""java"",""data-science"",""machine-learning"",""opensource""]",7493,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
mlrun/mlrun,mlrun,https://github.com/mlrun/mlrun,,Python,"[""python"",""kubernetes"",""workflow"",""data-science"",""machine-learning""]",1692,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
open-edge-platform/geti,open-edge-platform,https://github.com/open-edge-platform/geti,,Python,"[""machine-learning"",""computer-vision"",""deep-learning"",""pytorch"",""semi-supervised-learning""]",1309,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
modal-labs/modal-client,modal-labs,https://github.com/modal-labs/modal-client,,Python,"[""python"",""data-science"",""machine-learning"",""cloud"",""ai""]",505,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
iesahin/xvc,iesahin,https://github.com/iesahin/xvc,,Rust,"[""rust"",""devops"",""data-science"",""data"",""machine-learning""]",76,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
gradio-app/gradio,gradio-app,https://github.com/gradio-app/gradio,,Python,"[""python"",""data-science"",""machine-learning"",""ui"",""deep-learning""]",43388,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
aminekago-web/Paradigm-Survival-Arena,aminekago-web,https://github.com/aminekago-web/Paradigm-Survival-Arena,,HTML,"[""javascript"",""game"",""python"",""machine-learning"",""reinforcement-learning""]",117,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
NACLab/ngc-learn,NACLab,https://github.com/NACLab/ngc-learn,,Python,"[""python"",""machine-learning"",""neuroscience"",""computational-neuroscience"",""neural-networks""]",205,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
okesipoke/manuscript-phoneme-decipher,okesipoke,https://github.com/okesipoke/manuscript-phoneme-decipher,,HTML,"[""nlp"",""machine-learning"",""deep-learning"",""algorithms"",""artificial-intelligence""]",116,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
pravin6688/churn-triad-insights,pravin6688,https://github.com/pravin6688/churn-triad-insights,,HTML,"[""python"",""machine-learning"",""excel"",""data-analytics"",""logistic-regression""]",115,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
rocketride-org/rocketride-server,rocketride-org,https://github.com/rocketride-org/rocketride-server,,Python,"[""python"",""machine-learning"",""typescript"",""sdk"",""ai""]",6519,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
SentryPeer/SentryPeer,SentryPeer,https://github.com/SentryPeer/SentryPeer,,C,"[""security"",""machine-learning"",""sip"",""honeypot"",""peer-to-peer""]",212,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
MagnivOrg/prompt-layer-library,MagnivOrg,https://github.com/MagnivOrg/prompt-layer-library,,Python,"[""python"",""machine-learning"",""prompt"",""openai"",""gpt""]",783,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
google-deepmind/optax,google-deepmind,https://github.com/google-deepmind/optax,,Python,"[""machine-learning"",""optimization""]",2321,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
retentioneering/retentioneering-tools,retentioneering,https://github.com/retentioneering/retentioneering-tools,,Python,"[""python"",""machine-learning"",""web-analytics"",""data-visualization"",""segmentation""]",912,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
NVIDIA/cuvs,NVIDIA,https://github.com/NVIDIA/cuvs,,Cuda,"[""machine-learning"",""information-retrieval"",""statistics"",""clustering"",""gpu""]",835,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
OpenSTEF/openstef,OpenSTEF,https://github.com/OpenSTEF/openstef,,Python,"[""python"",""data-science"",""machine-learning"",""energy"",""time-series""]",162,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
kserve/kserve,kserve,https://github.com/kserve/kserve,,Go,"[""kubernetes"",""machine-learning"",""tensorflow"",""cncf"",""pytorch""]",5805,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
soda-inria/tabicl,soda-inria,https://github.com/soda-inria/tabicl,,Python,"[""machine-learning"",""deep-learning"",""tabular-data"",""tabular-methods"",""tabular-model""]",1289,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
janosh/matbench-discovery,janosh,https://github.com/janosh/matbench-discovery,,Python,"[""machine-learning"",""convex-hull"",""bayesian-optimization"",""materials-discovery"",""interatomic-potential""]",248,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
dailystudio/tensorflow-lite-examples-android,dailystudio,https://github.com/dailystudio/tensorflow-lite-examples-android,,Kotlin,"[""android"",""machine-learning"",""text-classification"",""tensorflow"",""kotlin-android""]",91,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
huggingface/speech-to-speech,huggingface,https://github.com/huggingface/speech-to-speech,,Python,"[""python"",""machine-learning"",""ai"",""speech"",""speech-synthesis""]",12645,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
kedro-org/kedro,kedro-org,https://github.com/kedro-org/kedro,,Python,"[""python"",""machine-learning"",""data-pipelines"",""hacktoberfest"",""machine-learning-engineering""]",10955,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
Comfy-Org/ComfyUI_frontend,Comfy-Org,https://github.com/Comfy-Org/ComfyUI_frontend,,TypeScript,"[""machine-learning"",""generative-ai""]",1970,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,
